Year,Total Fossil Fuels CO2 Emissions (million metric tons) million metric tons
2025,4793.7
2024,4777.5
2023,4791.0
2022,4938.8
2021,4905.9
2020,4583.7
2019,5147.0
2018,5278.2
2017,5131.5
2016,5169.0
2015,5262.2
2014,5414.0
2013,5359.0
2012,5236.3
2011,5454.7
2010,5593.7
2009,5403.7
2008,5823.1
2007,6015.5
2006,5929.3
2005,6007.0
2004,5993.7
2003,5886.4
2002,5820.0
2001,5777.8
2000,5888.6
1999,5700.3
1998,5636.7
1997,5589.3
1996,5518.0
1995,5324.3
1994,5262.7
1993,5185.5
1992,5093.9
1991,4992.7
1990,5037.9
