DATE,MSPUS
1963-01-01,18050.000000000000
1964-01-01,18925.000000000000
1965-01-01,20125.000000000000
1966-01-01,21500.000000000000
1967-01-01,22750.000000000000
1968-01-01,24800.000000000000
1969-01-01,25600.000000000000
1970-01-01,23475.000000000000
1971-01-01,25225.000000000000
1972-01-01,27525.000000000000
1973-01-01,32600.000000000000
1974-01-01,36050.000000000000
1975-01-01,39275.000000000000
1976-01-01,44225.000000000000
1977-01-01,48900.000000000000
1978-01-01,55850.000000000000
1979-01-01,62750.000000000000
1980-01-01,64750.000000000000
1981-01-01,68950.000000000000
1982-01-01,69225.000000000000
1983-01-01,75375.000000000000
1984-01-01,79950.000000000000
1985-01-01,84275.000000000000
1986-01-01,92025.000000000000
1987-01-01,104700.000000000000
1988-01-01,112225.000000000000
1989-01-01,120425.000000000000
1990-01-01,122300.000000000000
1991-01-01,119975.000000000000
1992-01-01,121375.000000000000
1993-01-01,126500.000000000000
1994-01-01,130425.000000000000
1995-01-01,133475.000000000000
1996-01-01,140250.000000000000
1997-01-01,145000.000000000000
1998-01-01,151925.000000000000
1999-01-01,160125.000000000000
2000-01-01,167550.000000000000
2001-01-01,173100.000000000000
2002-01-01,186025.000000000000
2003-01-01,192125.000000000000
2004-01-01,218150.000000000000
2005-01-01,236550.000000000000
2006-01-01,243750.000000000000
2007-01-01,244950.000000000000
2008-01-01,229550.000000000000
2009-01-01,215650.000000000000
2010-01-01,222700.000000000000
2011-01-01,224900.000000000000
2012-01-01,244400.000000000000
2013-01-01,266225.000000000000
2014-01-01,285775.000000000000
2015-01-01,294150.000000000000
2016-01-01,305125.000000000000
2017-01-01,322425.000000000000
2018-01-01,325275.000000000000
2019-01-01,320250.000000000000
2020-01-01,328150.000000000000
2021-01-01,383000.000000000000
2022-01-01,432950.000000000000
2023-01-01,426525.000000000000
2024-01-01,426300.000000000000
